FullAddress,Address1,Address2,City,State,ZipCode,revenue,date,Order Number,User ID,First Time Order
041 Barbara Fields Suite 702,041 Barbara Fields ,Suite 702 ,South Kellybury,CT,13879,606.25,2021-04-10,36843644,U9299460,0
38369 Wesley Mountains,38369 Wesley Mountains ,,Lake Jorge,AZ,80770,672.03,2021-03-26,84547057,U4974807,0
1299 Jason Corners,1299 Jason Corners ,,Rhondatown,CA,54430,506.45,2021-06-08,42788436,U2617807,0
732 Hurley Stravenue,732 Hurley Stravenue ,,Timothychester,WA,30102,178.61,2021-05-29,45837211,U3910650,1
643 Calderon Center,643 Calderon Center ,,Kathrynville,WY,91577,474.11,2021-11-18,22624584,U5336593,1
0150 Jacob Creek,0150 Jacob Creek ,,Simonbury,OK,93473,90.26,2021-07-10,28089519,U1234894,0
54574 Brown Dale Apt. 853,54574 Brown Dale ,Apt. 853 ,North Johnberg,IL,34510,934.65,2021-02-14,46160926,U9479005,1
3392 Garcia Camp Apt. 919,3392 Garcia Camp ,Apt. 919 ,Phamfurt,NM,07452,865.62,2021-11-07,91433385,U6315666,0
879 Soto River Apt. 942,879 Soto River ,Apt. 942 ,Craigstad,ME,30255,548.09,2021-06-22,66532753,U9812001,1
51410 Jaclyn Groves Suite 182,51410 Jaclyn Groves ,Suite 182 ,Davidbury,WI,43322,300.95,2021-12-10,74171310,U6330438,0
17201 Thomas Station Suite 045,17201 Thomas Station ,Suite 045 ,East Heatherfurt,RI,97100,908.96,2021-07-18,35147452,U4190260,1
34149 Thomas Parks North,34149 Thomas Parks North ,,Craig,PA,29557,572.79,2021-09-17,23653214,U3254154,1
972 Ellis Route Suite 869,972 Ellis Route ,Suite 869 ,Morsehaven,CT,99387,882.43,2021-05-08,97246908,U7468072,0
8544 Newman Views,8544 Newman Views ,,Gregoryfurt,CT,56362,848.2,2021-04-02,11389805,U2228852,0
6065 Caitlin Crossing Suite 719,6065 Caitlin Crossing ,Suite 719 ,Sharpside,MT,74113,508.86,2021-05-07,24060508,U5033686,0
USCGC Jones,USCGC Jones ,,FPO,AA,85308,414.53,2021-08-31,25702913,U4983434,0
1057 Hernandez Garden,1057 Hernandez Garden ,,Scotthaven,PA,11580,599.31,2021-05-24,77947521,U3079991,0
7112 Watson Estate Apt. 686,7112 Watson Estate ,Apt. 686 ,West Rachel,CT,86029,431.61,2021-02-15,22621785,U9160789,0
742 Vincent Drives Suite 879,742 Vincent Drives ,Suite 879 ,North Jameston,SC,98286,162.16,2021-10-08,66826318,U5015886,0
6057 Jessica Field East,6057 Jessica Field East ,,Bobby,CO,24331,305.81,2021-06-03,21107445,U8953114,1
8926 Dickerson Mount East,8926 Dickerson Mount East ,,Mark,AR,38951,812.78,2021-01-04,98734983,U2898589,1
USCGC Vega,USCGC Vega ,,FPO,AP,52403,44.2,2021-05-30,27407337,U9657743,0
39086 Rodriguez Land Suite 388,39086 Rodriguez Land ,Suite 388 ,Stevenchester,MO,57810,47.28,2021-10-21,38037082,U2843166,1
338 April Creek,338 April Creek ,,Johnland,HI,10720,626.72,2021-12-27,50045242,U6913445,1
492 Moore Rue Apt. 842,492 Moore Rue ,Apt. 842 ,Hensonborough,RI,30625,281.15,2021-06-09,68266291,U7168511,0
4346 Jacob Circle,4346 Jacob Circle ,,Parkerbury,SC,44144,535.09,2021-09-18,23384969,U8561906,1
1500 Michelle Hollow,1500 Michelle Hollow ,,Fergusonfurt,CT,12373,471.77,2021-04-10,27358022,U8072135,1
65422 Anderson Lights Suite 257,65422 Anderson Lights ,Suite 257 ,Walshhaven,AL,26414,343.5,2021-07-31,59763616,U3747153,0
767 Maria Ford,767 Maria Ford ,,Lake Melanie,AL,98694,997.28,2021-08-05,99172853,U4962568,1
37400 Kristin Mews,37400 Kristin Mews ,,New Jacob,HI,45506,196.38,2021-11-03,30990523,U9836998,1
82555 Choi Coves South,82555 Choi Coves South ,,Nicole,WI,37654,413.38,2021-05-28,85539205,U4301701,0
USS Davenport,USS Davenport ,,FPO,AE,51548,203.47,2021-08-09,71855863,U4395360,1
19747 Hensley Spring,19747 Hensley Spring ,,Laurenfurt,MN,65156,633.03,2021-08-20,13795589,U2253787,1
220 Robin Stream Apt. 848,220 Robin Stream ,Apt. 848 ,West Johnberg,VT,63551,277.03,2021-03-24,85513904,U4883559,1
538 Newman Square,538 Newman Square ,,Franklinside,FL,19749,356.47,2021-04-30,76930808,U5926303,1
930 Jamie Harbors Apt. 103,930 Jamie Harbors ,Apt. 103 ,Sabrinaside,TN,32265,747.2,2021-06-06,87847471,U7780448,1
886 Tammy Green Apt. 325,886 Tammy Green ,Apt. 325 ,East Stephanieland,TN,76929,321.35,2021-05-13,48794430,U2491468,1
46938 Carter Pines,46938 Carter Pines ,,Lake Coreyfort,NC,23332,558.97,2021-01-23,65013092,U9642258,0
6332 Hughes Estates West,6332 Hughes Estates West ,,Kathleenview,KY,80922,904.41,2021-02-11,39535747,U8874538,1
41520 Eric Flats Apt. 003,41520 Eric Flats ,Apt. 003 ,Meyermouth,MO,16265,101.88,2021-01-24,75797112,U2107679,0
USNV Torres,USNV Torres ,,FPO,AP,03228,62.55,2021-08-25,33956573,U3115860,0
83357 Robin Well Apt. 190,83357 Robin Well ,Apt. 190 ,East Christopherborough,AK,08606,229.64,2021-11-17,90216538,U3097171,0
21871 Gardner Valleys,21871 Gardner Valleys ,,Lake Michael,HI,12215,765.4,2021-05-24,62181666,U8105242,0
206 Trevor Hills Apt. 185,206 Trevor Hills ,Apt. 185 ,South Cassandratown,NH,67661,615.82,2021-09-23,94773010,U3243136,0
59022 Osborne Landing Suite 230,59022 Osborne Landing ,Suite 230 ,Longshire,ND,82355,238.18,2021-10-01,72956490,U8698897,0
6821 Daryl Light,6821 Daryl Light ,,Timothystad,ME,14854,331.74,2021-11-28,80269392,U1567981,1
2750 Hood Village,2750 Hood Village ,,New Rebeccaport,UT,82849,178.36,2021-08-30,11761919,U4337587,0
21258 Mary Parkway,21258 Mary Parkway ,,North Jeffreystad,KS,34711,459.56,2021-12-25,39963612,U4480652,0
2925 Katelyn Neck East,2925 Katelyn Neck East ,,Brett,NC,88980,43.77,2021-06-25,43920077,U7910280,0
16184 Evans Ferry,16184 Evans Ferry ,,Mayburgh,MI,01422,697.59,2021-03-16,46412514,U3145834,0
000 Smith Shore Suite 489,000 Smith Shore ,Suite 489 ,East Ronaldhaven,SC,49436,896.03,2021-12-11,91167067,U2704824,1
563 Dustin Islands Suite 868,563 Dustin Islands ,Suite 868 ,North Robert,UT,31417,954.78,2021-04-11,75539085,U6912371,1
2737 White Garden Apt. 399,2737 White Garden ,Apt. 399 ,New Patrickfurt,SD,31330,735.14,2021-02-04,85796574,U6227090,1
27895 Lydia Roads Apt. 307,27895 Lydia Roads ,Apt. 307 ,New Pam,MS,11300,959.91,2021-07-31,33147964,U5082722,1
3135 Nelson Oval Apt. 052,3135 Nelson Oval ,Apt. 052 ,Holmesport,VA,56164,19.17,2021-04-14,25270871,U1086180,0
135 Contreras Well Suite 303,135 Contreras Well ,Suite 303 ,Port Courtney,HI,27615,289.71,2021-11-22,17534992,U1423256,0
6347 Derek Valleys,6347 Derek Valleys ,,South Kristin,MI,44319,966.04,2021-11-20,18813749,U5838561,0
95491 Ryan Fields,95491 Ryan Fields ,,Richardstad,MA,15280,775.46,2021-08-14,55936952,U6364566,0
0217 Diaz Radial Port,0217 Diaz Radial Port ,,Joanna,MA,64568,411.02,2021-05-22,41955399,U3500994,1
7474 Smith Causeway Port,7474 Smith Causeway Port ,,Danaton,AZ,57005,943.37,2021-04-05,78586718,U7319275,1
3949 Donna Courts Suite 617,3949 Donna Courts ,Suite 617 ,Port Caseyland,CA,70231,620.89,2021-07-02,87492124,U2959197,1
546 Whitney Crossroad Suite 975,546 Whitney Crossroad ,Suite 975 ,Lake Sandraport,ME,72275,818.11,2021-08-12,80920840,U2948194,1
7125 Robinson Coves Apt. 349,7125 Robinson Coves ,Apt. 349 ,New Stephanieview,HI,52213,294.12,2021-10-29,31446875,U2107996,0
90422 Newman Centers,90422 Newman Centers ,,Boyleside,CO,66973,192.22,2021-06-14,67301021,U5782238,0
10542 Erika Ferry Suite 412,10542 Erika Ferry ,Suite 412 ,South Gabrielland,CA,13299,444.7,2021-11-21,81583940,U2447889,1
7066 Nicole Square,7066 Nicole Square ,,Colleenmouth,MI,65853,137.3,2021-10-13,99222308,U7801290,0
825 Gomez Causeway Suite 951,825 Gomez Causeway ,Suite 951 ,Brooksfurt,OR,96946,382.25,2021-04-12,29021909,U7172326,0
709 Michael Fords Apt. 931,709 Michael Fords ,Apt. 931 ,Phillipsfort,WV,28568,961.85,2021-06-15,73719228,U7517432,1
9554 Janice Wall Apt. 412,9554 Janice Wall ,Apt. 412 ,Lake Josephchester,SD,40643,331.98,2021-02-21,69524240,U9423628,0
6853 Barry Lodge,6853 Barry Lodge ,,Jenniferview,IA,33486,10.39,2021-02-01,95924302,U8874988,1
2458 Lee Lodge Apt. 357,2458 Lee Lodge ,Apt. 357 ,New Jackson,CO,71503,45.75,2021-12-29,64667152,U4523258,0
419 Christopher Orchard,419 Christopher Orchard ,,Lake Dorothymouth,FL,60294,170.4,2021-04-28,81111657,U6462375,0
7421 Miles Light Suite 597,7421 Miles Light ,Suite 597 ,Port Dwaynemouth,SD,60055,783.96,2021-05-23,49811861,U3884727,1
9902 Cain Neck Apt. 415,9902 Cain Neck ,Apt. 415 ,Simsshire,GA,67225,363.36,2021-10-26,23569589,U5096810,0
58049 Newman Land,58049 Newman Land ,,Anthonyshire,MT,88629,291.04,2021-11-12,53356873,U8894203,1
49457 Rodriguez Parkway Apt. 156,49457 Rodriguez Parkway ,Apt. 156 ,Lake Stephaniehaven,CT,61806,98.01,2021-05-02,27401924,U6139642,1
9512 Elizabeth Cliffs,9512 Elizabeth Cliffs ,,Davismouth,AK,55665,981.77,2021-03-04,75742136,U1593657,0
8562 Tammy Shoals Suite 995,8562 Tammy Shoals ,Suite 995 ,Ibarrastad,TN,38953,424.53,2021-06-19,99355226,U9939644,1
244 Martin Dale,244 Martin Dale ,,South Arieltown,HI,58718,208.71,2021-04-01,69768515,U3558239,0
4142 Johnston Land Apt. 060,4142 Johnston Land ,Apt. 060 ,West Susanmouth,IN,17459,60.28,2021-05-29,27861723,U4807827,1
0982 Annette Unions Suite 364,0982 Annette Unions ,Suite 364 ,Port Teresabury,RI,84361,56.22,2021-08-24,34652336,U5681499,1
7987 Michael Rapid Apt. 278,7987 Michael Rapid ,Apt. 278 ,New Williamhaven,KY,58637,169.5,2021-01-14,39206694,U5325109,1
8396 Johnson Ports,8396 Johnson Ports ,,Moorefort,PA,92102,677.15,2021-01-22,22874635,U8721197,1
82180 Ronald Fork,82180 Ronald Fork ,,Valerieport,ND,33463,150.49,2021-07-02,62874390,U6147964,0
048 Campbell Flats,048 Campbell Flats ,,Timothyshire,TN,63161,41.85,2021-12-24,40025504,U8739379,1
4893 Natalie Loaf,4893 Natalie Loaf ,,Hernandezburgh,MN,61476,491.18,2021-02-12,61081947,U9860094,1
USNS Lopez,USNS Lopez ,,FPO,AP,24957,249.81,2021-05-27,44359751,U5142362,1
0761 Zachary Trafficway Port,0761 Zachary Trafficway Port ,,Kennethstad,WA,96009,997.64,2021-12-12,46914630,U8131864,0
8156 Kyle Parks Suite 335,8156 Kyle Parks ,Suite 335 ,Arnoldchester,DC,95187,123.15,2021-06-17,23354577,U6451348,0
0080 Blake Glen Suite 705,0080 Blake Glen ,Suite 705 ,Guerraland,RI,73287,529.71,2021-01-10,17692332,U1602080,0
332 Wilson Estates,332 Wilson Estates ,,Lake Erica,HI,30668,774.02,2021-06-15,59568044,U4917199,0
623 Nicole Ridge Suite 925,623 Nicole Ridge ,Suite 925 ,South Christian,NY,86391,409.91,2021-05-28,68837663,U6331774,1
255 Potter Harbor,255 Potter Harbor ,,Tylerfort,GA,57902,987.67,2021-06-14,95677135,U2749539,0
10956 Nguyen Lock Suite 096,10956 Nguyen Lock ,Suite 096 ,Georgestad,UT,96782,478.28,2021-03-20,10352925,U1101659,1
11382 Wells Passage,11382 Wells Passage ,,South Phillip,HI,73754,242.62,2021-11-30,17710823,U6153192,0
599 David Lane Apt. 147,599 David Lane ,Apt. 147 ,Mejiatown,WY,99943,411.21,2021-07-30,55127446,U1485883,1
USNS Ibarra,USNS Ibarra ,,FPO,AE,42213,37.83,2021-11-14,73917075,U4814510,1
231 Harris Ridges Suite 319,231 Harris Ridges ,Suite 319 ,New Tammymouth,NJ,49011,421.8,2021-12-15,76420611,U4087902,0
22995 Castillo Neck,22995 Castillo Neck ,,Jeffreyside,OK,63943,249.34,2021-02-09,98497350,U1433399,0
5061 Lori Forge Apt. 055,5061 Lori Forge ,Apt. 055 ,Lake Erik,LA,12208,889.41,2021-05-31,86337301,U2257725,0
PSC 4888 Box 7071,PSC 4888 ,Box 7071 ,APO,AP,50873,831.22,2021-11-13,67446624,U4945817,0
100 Adriana Loop Port,100 Adriana Loop Port ,,Ashleyfurt,UT,80688,499.08,2021-04-09,33353446,U1337649,1
3021 Kenneth Skyway Suite 879,3021 Kenneth Skyway ,Suite 879 ,North Matthew,AZ,41782,32.62,2021-08-16,85796536,U8054130,1
474 Alexa Dam Suite 555,474 Alexa Dam ,Suite 555 ,East Michelle,VA,57896,255.14,2021-05-30,32707052,U6753294,1
883 Haley Islands Suite 290,883 Haley Islands ,Suite 290 ,Burnettland,VT,39616,243.15,2021-03-11,66313538,U9798367,1
31841 Mendoza Summit Suite 612,31841 Mendoza Summit ,Suite 612 ,Lake Danielborough,MT,93570,208.86,2021-05-09,30928301,U3310605,0
43258 Price Meadows Apt. 527,43258 Price Meadows ,Apt. 527 ,Lake Melissaton,MA,41381,232.24,2021-07-15,56662388,U4174071,1
859 Amanda Spring,859 Amanda Spring ,,Ashleyton,OH,52155,869.84,2021-11-03,77646571,U2066044,1
USNV Haley,USNV Haley ,,FPO,AE,52379,142.56,2021-03-23,77524348,U8928312,0
0663 Nunez Crossing,0663 Nunez Crossing ,,Jasonborough,VT,53587,52.22,2021-06-19,47282092,U2179113,0
58606 Carolyn Rapids Apt. 535,58606 Carolyn Rapids ,Apt. 535 ,South Natalieview,MI,21686,928.11,2021-10-21,48989068,U9474416,1
6764 Ortega Loop Suite 641,6764 Ortega Loop ,Suite 641 ,Lauraside,DE,92067,565.78,2021-01-05,90228202,U2209144,1
9428 Brown Shores,9428 Brown Shores ,,New Tammyton,PA,17357,990.58,2021-07-06,92586680,U5133449,1
663 Rice Viaduct South,663 Rice Viaduct South ,,Gabriellashire,TX,92582,403.56,2021-01-23,76087279,U2518896,0
5218 Carpenter Meadow Apt. 066,5218 Carpenter Meadow ,Apt. 066 ,Lake Allen,NC,95896,901.05,2021-08-21,78409228,U9541340,1
76552 Brian Loaf Apt. 369,76552 Brian Loaf ,Apt. 369 ,Anthonystad,SC,70647,654.32,2021-03-28,66019065,U6770409,0
148 Watts Roads Suite 322,148 Watts Roads ,Suite 322 ,Calvinville,IA,99548,791.07,2021-07-06,62537701,U9200599,1
730 Silva Tunnel,730 Silva Tunnel ,,Patelland,IA,09215,744.98,2021-07-05,94124020,U2913327,1
USNV Waller,USNV Waller ,,FPO,AP,47200,494.79,2021-05-29,99423410,U4851720,0
36965 Curry Stravenue Suite 083,36965 Curry Stravenue ,Suite 083 ,Mackenzieside,AZ,42025,93.82,2021-10-20,66054868,U1342096,1
72000 Garcia Mountains Suite 344,72000 Garcia Mountains ,Suite 344 ,Stonetown,KS,24000,211.71,2021-02-19,31766173,U7807305,0
05911 Saunders Road Apt. 483,05911 Saunders Road ,Apt. 483 ,Joneston,IA,36190,873.93,2021-08-13,99484869,U9477223,1
6227 Oneal Trail Suite 114,6227 Oneal Trail ,Suite 114 ,Joshuaberg,ME,48143,899.86,2021-04-17,33058772,U1485596,1
55020 Sandra Club,55020 Sandra Club ,,West Kristie,MT,83434,924.65,2021-08-06,23516462,U1915981,1
20778 Alejandro Groves,20778 Alejandro Groves ,,Taylormouth,MD,13602,337.25,2021-04-17,37339154,U3702191,0
USNV Soto,USNV Soto ,,FPO,AA,78151,657.25,2021-02-28,70133784,U8826870,0
0699 Collins Lock Apt. 540,0699 Collins Lock ,Apt. 540 ,New Lisaborough,FL,43219,799.71,2021-01-31,30908729,U4604912,1
128 Crystal Walks Suite 563,128 Crystal Walks ,Suite 563 ,Kristinaton,WY,62232,642.85,2021-02-01,56968314,U8918275,1
325 Chaney Parkways Port,325 Chaney Parkways Port ,,Erinview,AR,09213,815.01,2021-01-29,88089361,U6255873,0
66575 Gonzalez Terrace,66575 Gonzalez Terrace ,,East Erikfort,NJ,91729,528.5,2021-03-28,59120070,U4224871,1
53562 Huerta Springs,53562 Huerta Springs ,,Freemanhaven,LA,80826,655.08,2021-11-01,16603301,U9110631,0
88300 Nelson Road,88300 Nelson Road ,,Johnport,MN,78223,686.27,2021-12-13,78778365,U4186223,1
56682 Byrd Row Suite 479,56682 Byrd Row ,Suite 479 ,Lake Jamesstad,MN,50803,269.03,2021-03-18,71584460,U8582730,0
356 Miller Union Apt. 840,356 Miller Union ,Apt. 840 ,Mejiastad,TX,28544,922.88,2021-11-07,11175002,U3086089,0
27155 Charles Valley,27155 Charles Valley ,,Kellyside,IA,61312,956.32,2021-01-21,80876429,U8851840,1
35762 Danielle Garden,35762 Danielle Garden ,,West Antonio,AZ,68042,75.31,2021-10-07,58607819,U2867761,1
91741 Lee Square Apt. 225,91741 Lee Square ,Apt. 225 ,Smithville,VT,75134,971.12,2021-09-09,80537511,U2024587,1
80991 Moss Keys,80991 Moss Keys ,,Kristinshire,UT,50847,961.81,2021-10-26,67239921,U2524405,1
128 Patrick Valleys Suite 204,128 Patrick Valleys ,Suite 204 ,Coreymouth,CT,20255,668.68,2021-05-08,36717584,U2717086,0
6681 Dawn Ville,6681 Dawn Ville ,,Robertborough,SC,23624,45.5,2021-06-14,92790611,U9950602,1
4485 Brooks Motorway Suite 387,4485 Brooks Motorway ,Suite 387 ,South Mark,TX,98335,899.07,2021-01-19,60853564,U8399034,1
PSC 0795 Box 3997,PSC 0795 ,Box 3997 ,APO,AE,42353,128.51,2021-03-04,80964863,U8388631,0
7982 Gonzales Meadows Apt. 650,7982 Gonzales Meadows ,Apt. 650 ,Peterport,NV,18223,968.57,2021-09-28,50753373,U4710925,1
5490 Henry Walk Apt. 831,5490 Henry Walk ,Apt. 831 ,Andreaville,NJ,14131,667.52,2021-05-30,92399512,U5041681,1
54182 Alexandra Grove Apt. 423,54182 Alexandra Grove ,Apt. 423 ,Danielview,VT,04823,61.42,2021-07-29,28974984,U8344929,0
393 Walker Crossroad,393 Walker Crossroad ,,Ericville,CA,84542,168.1,2021-11-30,10472156,U6116275,1
222 Brandy Extensions,222 Brandy Extensions ,,Rodriguezland,CA,32720,635.55,2021-04-13,61677363,U3490109,1
51263 Richard Squares Suite 974,51263 Richard Squares ,Suite 974 ,Boydside,NJ,52413,569.64,2021-09-02,80561596,U6793948,1
396 Matthew Islands Apt. 537,396 Matthew Islands ,Apt. 537 ,West Keith,DE,78677,746.75,2021-04-14,28491043,U4031386,0
PSC 0805 Box 9001,PSC 0805 ,Box 9001 ,APO,AE,21810,927.55,2021-05-04,27766550,U1452359,1
50616 Melissa Ports North,50616 Melissa Ports North ,,Marychester,AZ,35598,219.32,2021-08-13,22679839,U1785441,0
8569 Christopher Shores,8569 Christopher Shores ,,Lake Christineview,IA,50827,4.27,2021-07-30,88786237,U1045126,0
441 Tate Plains,441 Tate Plains ,,Baxterhaven,NJ,49515,922.44,2021-09-09,54414115,U7736297,1
21829 Donald Loaf South,21829 Donald Loaf South ,,Brittany,AR,06332,14.1,2021-01-19,49135404,U7582004,1
66509 Foley Land,66509 Foley Land ,,East Teresaville,RI,34476,876.55,2021-04-23,16942676,U2744560,1
38001 Christie Extensions,38001 Christie Extensions ,,Port Robert,IL,52562,116.77,2021-08-04,76343756,U4781600,1
15585 Bright Mall Apt. 528,15585 Bright Mall ,Apt. 528 ,East Matthew,MN,01548,810.06,2021-08-16,96088195,U8823008,1
25573 Elizabeth Burgs Apt. 316,25573 Elizabeth Burgs ,Apt. 316 ,Grimeschester,KS,70114,783.19,2021-05-08,18249874,U1833836,0
754 Island Apt. 156,754 Island ,Apt. 156 ,Port Amandafurt,DC,87415,878.0,2021-11-28,78572108,U6459768,0
03785 Cassandra Crest Apt. 867,03785 Cassandra Crest ,Apt. 867 ,Baldwinville,ME,81657,551.06,2021-08-08,49420848,U2449257,1
017 Clark Lake Apt. 856,017 Clark Lake ,Apt. 856 ,Larsonfurt,GA,53942,878.83,2021-04-21,74357457,U1497254,0
90657 Barnes Circles Suite 888,90657 Barnes Circles ,Suite 888 ,New Diana,MO,48502,202.47,2021-09-13,80692953,U4412692,1
70362 Fox Brooks Apt. 437,70362 Fox Brooks ,Apt. 437 ,West Vincentville,MO,42748,671.81,2021-04-07,50087935,U4984891,0
18695 Gonzalez Knolls Port,18695 Gonzalez Knolls Port ,,Brianland,AL,10220,331.31,2021-01-17,68337492,U8475013,0
5830 Parker Unions Apt. 230,5830 Parker Unions ,Apt. 230 ,West Justin,PA,03519,891.86,2021-01-19,84668676,U2079898,0
2589 Patterson Grove,2589 Patterson Grove ,,Robertsburgh,MO,45598,773.8,2021-05-11,69515900,U2221343,0
1531 Campbell Court Suite 873,1531 Campbell Court ,Suite 873 ,West Maryberg,WY,27982,472.04,2021-05-10,36783944,U8572993,1
54307 Kevin Extensions,54307 Kevin Extensions ,,Dianafurt,OH,71283,526.88,2021-05-05,26042799,U1861306,0
590 Linda View Suite 910,590 Linda View ,Suite 910 ,Brianville,ME,76221,27.37,2021-09-27,13315664,U7325886,1
6704 Hampton Pine South,6704 Hampton Pine South ,,April,DE,91365,35.15,2021-04-17,33515252,U6974096,1
5024 Ronald Lodge North,5024 Ronald Lodge North ,,Jennifer,OH,48046,594.89,2021-04-29,41960665,U8622368,1
265 Powell Summit Suite 576,265 Powell Summit ,Suite 576 ,New Tammy,RI,35525,489.34,2021-08-02,52893674,U9935593,0
431 Davis Fords West,431 Davis Fords West ,,Melinda,WV,48678,864.86,2021-05-14,88417277,U9656413,1
5540 Flores Isle,5540 Flores Isle ,,New Danielberg,MO,77556,608.52,2021-03-14,38414087,U8026377,1
9720 Mackenzie Fields Apt. 605,9720 Mackenzie Fields ,Apt. 605 ,New Lee,NJ,71987,139.62,2021-06-16,27201915,U8329970,1
60756 Christine Estate Apt. 313,60756 Christine Estate ,Apt. 313 ,Brewerport,ID,67589,363.21,2021-01-27,74566978,U4283477,1
56949 Valley Apt. 352,56949 Valley ,Apt. 352 ,East Hectorbury,NE,26942,767.81,2021-06-11,79985814,U3425435,0
06273 Carney Centers Suite 030,06273 Carney Centers ,Suite 030 ,West Gregorystad,AL,04089,523.46,2021-10-17,18471946,U8388603,0
86328 Derek Street,86328 Derek Street ,,Lake Briannaberg,KY,99897,11.54,2021-03-01,50854130,U2198666,0
130 Stanley Stravenue,130 Stanley Stravenue ,,East Daniel,OH,36823,837.85,2021-10-19,44377352,U9217810,0
3165 Richard Ville Suite 029,3165 Richard Ville ,Suite 029 ,Bonniefort,OH,04869,827.73,2021-07-26,49083879,U4117922,0
68462 Barbara Cape Suite 187,68462 Barbara Cape ,Suite 187 ,New Susanmouth,WA,55373,86.06,2021-12-01,38518566,U8823157,0
85267 Mendoza Courts Suite 021,85267 Mendoza Courts ,Suite 021 ,Port Jessica,MD,88035,543.84,2021-12-01,89754962,U9416743,1
3333 Kim Coves Apt. 462,3333 Kim Coves ,Apt. 462 ,Deborahburgh,CA,58631,381.78,2021-01-21,17283471,U2755298,1
73383 Stephanie Extension,73383 Stephanie Extension ,,Tinaview,OK,71826,787.6,2021-09-11,94930457,U8034163,1
6884 John Rest,6884 John Rest ,,Adrianbury,VT,85844,311.86,2021-07-18,88120806,U5845457,0
9885 James Springs Suite 548,9885 James Springs ,Suite 548 ,East Christinamouth,LA,73874,234.47,2021-02-17,85410742,U5789115,0
112 Mclaughlin Prairie Suite 941,112 Mclaughlin Prairie ,Suite 941 ,New Cameronfort,MD,88026,487.17,2021-08-09,38998676,U6218951,0
66046 Weber Port,66046 Weber Port ,,Smithhaven,SD,27048,966.31,2021-04-18,85665771,U9119669,0
11359 Mccann Crest Apt. 862,11359 Mccann Crest ,Apt. 862 ,South Erik,MD,13196,96.02,2021-10-21,85312645,U8858230,1
